member_id,name,username,demo_password,phone,school,club_id,class_id,status,assigned_roles
m1,이민찬,minchan,1234,010-1100-2000,서울대학교,u1,c2,ACTIVE,CLUB_LEADER
m2,조용훈,yonghun,1234,010-1101-2001,서울대학교,u1,c1,ACTIVE,CLASS_LEADER
m3,이종한,jonghan,1234,010-1102-2002,서울대학교,u1,c3,ACTIVE,
m4,김민준,member04,1234,010-1103-2003,서울대학교,u1,c4,ACTIVE,
m5,박서준,member05,1234,010-1104-2004,서울대학교,u1,c1,ACTIVE,
m6,최도윤,member06,1234,010-1105-2005,서울대학교,u1,c2,ACTIVE,
m7,정우진,member07,1234,010-1106-2006,서울대학교,u1,c3,ACTIVE,
m8,강현우,member08,1234,010-1107-2007,서울대학교,u1,c4,ACTIVE,
m9,윤서준,member09,1234,010-1108-2008,서울대학교,u1,c1,ACTIVE,
m10,한지훈,member10,1234,010-1109-2009,서울대학교,u1,c2,ACTIVE,
m11,김지호,member11,1234,010-1110-2010,서울대학교,u1,c3,ACTIVE,
m12,박준혁,member12,1234,010-1111-2011,서울대학교,u1,c4,ACTIVE,
m13,이현수,member13,1234,010-1112-2012,서울대학교,u1,c1,ACTIVE,
m14,장민재,member14,1234,010-1113-2013,서울대학교,u1,c2,ACTIVE,
m15,오승현,member15,1234,010-1114-2014,서울대학교,u1,c3,ACTIVE,
m16,김도윤,doyoon,1234,010-1115-2015,연세대학교,,c2,ACTIVE,CLASS_LEADER
m17,박서진,seojin,1234,010-1116-2016,고려대학교,,c3,ACTIVE,CLASS_LEADER
m18,최유진,yujin,1234,010-1117-2017,한국외국어대학교,,c4,ACTIVE,CLASS_LEADER
m19,김태현,member19,1234,010-1118-2018,경희대학교,,c3,ACTIVE,
m20,정민수,member20,1234,010-1119-2019,숭실대학교,,c4,ACTIVE,
m21,이준호,member21,1234,010-1120-2020,건국대학교,,c1,ACTIVE,
m22,윤지후,member22,1234,010-1121-2021,서울대학교,,c2,ACTIVE,
m23,한서준,member23,1234,010-1122-2022,연세대학교,,c3,ACTIVE,
m24,송민재,member24,1234,010-1123-2023,고려대학교,,c4,ACTIVE,
m25,임현수,member25,1234,010-1124-2024,한국외국어대학교,,c1,ACTIVE,
m26,배준영,member26,1234,010-1125-2025,경희대학교,,c2,ACTIVE,
m27,신우진,member27,1234,010-1126-2026,숭실대학교,,c3,ACTIVE,
m28,권민석,member28,1234,010-1127-2027,건국대학교,,c4,ACTIVE,
m29,홍지훈,member29,1234,010-1128-2028,서울대학교,,c1,ACTIVE,
m30,문성민,member30,1234,010-1129-2029,연세대학교,,c2,ACTIVE,
m31,서준호,member31,1234,010-1130-2030,고려대학교,,c3,ACTIVE,
m32,노현우,member32,1234,010-1131-2031,한국외국어대학교,,c4,ACTIVE,
m33,조민재,member33,1234,010-1132-2032,경희대학교,,c1,ACTIVE,
m34,백승현,member34,1234,010-1133-2033,숭실대학교,,c2,ACTIVE,
m35,안지훈,member35,1234,010-1134-2034,건국대학교,,c3,ACTIVE,
m36,유승민,member36,1234,010-1135-2035,서울대학교,,c4,ACTIVE,
m37,남도현,member37,1234,010-1136-2036,연세대학교,,c1,ACTIVE,
m38,류현준,member38,1234,010-1137-2037,고려대학교,,c2,ACTIVE,
m39,전민규,member39,1234,010-1138-2038,한국외국어대학교,,c3,ACTIVE,
m40,황준서,member40,1234,010-1139-2039,경희대학교,,c4,ACTIVE,
m41,김서연,member41,1234,010-1140-2040,숭실대학교,,c1,ACTIVE,
m42,박지민,member42,1234,010-1141-2041,건국대학교,,c2,ACTIVE,
m43,이수빈,member43,1234,010-1142-2042,서울대학교,,c3,ACTIVE,
m44,최예은,member44,1234,010-1143-2043,연세대학교,,c4,ACTIVE,
m45,정유나,member45,1234,010-1144-2044,고려대학교,,c1,ACTIVE,
m46,강민지,member46,1234,010-1145-2045,한국외국어대학교,,c2,ACTIVE,
m47,윤채원,member47,1234,010-1146-2046,경희대학교,,c3,ACTIVE,
m48,한소희,member48,1234,010-1147-2047,숭실대학교,,c4,ACTIVE,
m49,송지아,member49,1234,010-1148-2048,건국대학교,,c1,ACTIVE,
m50,임서현,member50,1234,010-1149-2049,서울대학교,,c2,ACTIVE,
